Time,Frequency
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.5700000000000001,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.6900000000000001,0
0.7000000000000001,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.8200000000000001,0
0.8300000000000001,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1.0,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,115.27757409093695
1.61,115.73602786456551
1.62,115.55392085972493
1.63,115.10735040499668
1.64,0
1.65,0
1.66,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,112.71560418496044
1.72,112.21074058137212
1.73,112.45735851915383
1.74,113.07550155202388
1.75,113.69940437907383
1.76,114.89194800238923
1.77,117.3734182122175
1.78,120.67453902306382
1.79,123.91800642596789
1.8,127.14118070278165
1.81,139.05437661121192
1.82,150.41318705969678
1.83,156.4880728339738
1.84,159.86462336144825
1.85,162.0755509277267
1.86,163.71076601714668
1.87,165.26842186502455
1.88,167.24999807721034
1.89,169.7845043701568
1.9,172.69525948195414
1.91,176.77356763448032
1.92,179.04874634213752
1.93,180.48143947587664
1.94,183.41793850227327
1.95,187.3939749444703
1.96,191.65960542151427
1.97,196.0021585344844
1.98,197.9313221104566
1.99,198.02523980766955
2.0,190.9430394034615
2.01,187.20450769726287
2.02,185.45960395006367
2.03,183.7175256222811
2.04,180.89155093198784
2.05,176.95577149224292
2.06,172.54347807207486
2.07,169.02666710429432
2.08,171.2355461548136
2.09,177.79714103201997
2.1,175.98884869014884
2.11,168.80848203726126
2.12,157.38188968546973
2.13,149.0331727146444
2.14,146.1279464433287
2.15,145.70370820626778
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,176.84025030338597
2.22,175.4140710448979
2.23,174.61805689810228
2.24,174.97733076142114
2.25,175.3950898386226
2.26,175.0508294626444
2.27,174.59041419068154
2.28,174.027143798552
2.29,172.77268663644986
2.3000000000000003,169.97226068400192
2.31,166.39001318029418
2.32,161.26956287111832
2.33,154.432622356202
2.34,148.15070184894805
2.35,143.26319545131886
2.36,139.58890345824864
2.37,137.18702490121382
2.38,136.63404555009174
2.39,162.99099470517416
2.4,174.84465627922933
2.41,168.64401796465566
2.42,158.28285516643848
2.43,0
2.44,0
2.45,0
2.46,0
2.47,0
2.48,0
2.49,0
2.5,0
2.51,0
2.52,0
2.53,0
2.54,79.02916506421325
2.5500000000000003,79.1993548316061
2.56,76.07274562676885
2.57,70.72378596669924
2.58,69.01527181504888
2.59,68.39733629477524
2.6,70.37958751816102
2.61,74.29605264236632
2.62,75.56523464345754
2.63,79.31939521273088
2.64,74.97742061760195
2.65,68.3163999239079
2.66,67.00793373917719
2.67,63.11963206547779
2.68,59.385550296425485
2.69,58.47678069056836
2.7,0
2.71,0
2.72,0
2.73,0
2.74,0
2.75,0
2.76,0
2.77,0
2.78,0
2.79,0
2.8000000000000003,0
2.81,0
2.82,0
2.83,0
2.84,0
2.85,0
2.86,0
2.87,0
2.88,0
2.89,0
2.9,0
2.91,0
2.92,0
2.93,0
2.94,0
2.95,0
2.96,0
2.97,0
2.98,0
2.99,0
3.0,0
3.01,0
3.02,0
3.03,0
3.04,0
3.0500000000000003,0
3.06,0
3.0700000000000003,0
3.08,0
3.09,0
3.1,0
3.11,0
3.12,0
3.13,0
3.14,0
3.15,0
3.16,0
3.17,0
3.18,0
3.19,0
3.2,0
3.21,0
3.22,0
3.23,0
3.24,0
3.25,0
3.26,0
3.27,0
3.28,0
3.29,0
3.3000000000000003,0
3.31,0
3.3200000000000003,0
3.33,0
3.34,0
3.35,0
3.36,0
3.37,0
3.38,0
3.39,0
3.4,0
3.41,0
3.42,0
3.43,0
3.44,0
3.45,0
3.46,0
3.47,0
3.48,0
3.49,0
3.5,0
3.51,0
3.52,0
